Date,Category,Payment Mode,Description,Amount Paid,Cashback
2024-10-26,Groceries,Cash,Purchased groceries and household items.,2890.63,0.0
2024-10-14,Subscriptions,UPI,Online streaming and magazine subscriptions.,2832.12,8.31
2024-10-01,Transportation,Debit Card,Daily commute and fuel expenses.,3471.9,0.0
2024-10-26,Gifts,Credit Card,Purchased gifts for friends and family.,3567.06,0.0
2024-10-25,Gifts,Cash,Purchased gifts for friends and family.,775.31,0.0
2024-10-12,Groceries,Credit Card,Purchased groceries and household items.,4059.95,0.0
2024-10-08,Subscriptions,UPI,Online streaming and magazine subscriptions.,574.95,13.49
2024-10-17,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,2364.07,0.0
2024-10-14,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,4868.99,0.0
2024-10-26,Travel,UPI,Expense for travel tickets and accommodation.,2159.18,12.47
2024-10-01,Groceries,Cash,Purchased groceries and household items.,1404.25,0.0
2024-10-07,Gifts,Debit Card,Purchased gifts for friends and family.,4894.37,0.0
2024-10-09,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",234.4,0.0
2024-10-27,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",3239.97,0.0
2024-10-26,Transportation,UPI,Daily commute and fuel expenses.,357.03,1.29
2024-10-22,Gifts,Debit Card,Purchased gifts for friends and family.,4938.78,0.0
2024-10-10,Travel,Debit Card,Expense for travel tickets and accommodation.,3793.67,0.0
2024-10-23,Travel,Credit Card,Expense for travel tickets and accommodation.,4285.91,0.0
2024-10-27,Gifts,Cash,Purchased gifts for friends and family.,2046.93,0.0
2024-10-13,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",3125.08,0.0
2024-10-04,Transportation,Cash,Daily commute and fuel expenses.,4031.78,0.0
2024-10-20,Gifts,UPI,Purchased gifts for friends and family.,1346.7,6.26
2024-10-14,Transportation,UPI,Daily commute and fuel expenses.,1408.83,5.79
2024-10-13,Groceries,Credit Card,Purchased groceries and household items.,4697.97,0.0
2024-10-05,Groceries,Credit Card,Purchased groceries and household items.,2356.17,0.0
2024-10-11,Subscriptions,Cash,Online streaming and magazine subscriptions.,2864.22,0.0
2024-10-20,Gifts,Debit Card,Purchased gifts for friends and family.,2316.08,0.0
2024-10-12,Groceries,Debit Card,Purchased groceries and household items.,2245.59,0.0
2024-10-19,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,3037.06,0.0
2024-10-18,Gifts,Debit Card,Purchased gifts for friends and family.,2682.96,0.0
2024-10-06,Subscriptions,Cash,Online streaming and magazine subscriptions.,101.02,0.0
2024-10-05,Entertainment,Cash,"Movies, concerts, and recreational activities.",1117.97,0.0
2024-10-23,Travel,Debit Card,Expense for travel tickets and accommodation.,3994.73,0.0
2024-10-01,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,415.71,0.0
2024-10-05,Entertainment,Cash,"Movies, concerts, and recreational activities.",1960.92,0.0
2024-10-24,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,2669.41,0.0
2024-10-05,Subscriptions,Cash,Online streaming and magazine subscriptions.,3173.85,0.0
2024-10-10,Groceries,Debit Card,Purchased groceries and household items.,2044.08,0.0
2024-10-25,Travel,UPI,Expense for travel tickets and accommodation.,4867.95,18.94
2024-10-21,Gifts,UPI,Purchased gifts for friends and family.,2551.92,9.25
2024-10-04,Travel,UPI,Expense for travel tickets and accommodation.,4771.07,12.05
2024-10-16,Transportation,UPI,Daily commute and fuel expenses.,1657.72,4.09
2024-10-18,Subscriptions,UPI,Online streaming and magazine subscriptions.,4423.88,9.27
2024-10-11,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",4289.07,0.0
2024-10-10,Travel,Credit Card,Expense for travel tickets and accommodation.,3581.84,0.0
2024-10-22,Travel,Debit Card,Expense for travel tickets and accommodation.,2568.98,0.0
2024-10-14,Travel,Credit Card,Expense for travel tickets and accommodation.,3968.21,0.0
2024-10-14,Gifts,Cash,Purchased gifts for friends and family.,4471.16,0.0
2024-10-15,Gifts,Credit Card,Purchased gifts for friends and family.,118.92,0.0
2024-10-02,Entertainment,Cash,"Movies, concerts, and recreational activities.",4459.9,0.0
2024-10-06,Groceries,Cash,Purchased groceries and household items.,920.75,0.0
2024-10-24,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,4459.36,0.0
2024-10-27,Groceries,Credit Card,Purchased groceries and household items.,4951.88,0.0
2024-10-24,Entertainment,Cash,"Movies, concerts, and recreational activities.",4867.39,0.0
2024-10-05,Subscriptions,UPI,Online streaming and magazine subscriptions.,2521.18,8.55
2024-10-16,Subscriptions,UPI,Online streaming and magazine subscriptions.,4656.93,3.8
2024-10-24,Transportation,Credit Card,Daily commute and fuel expenses.,2521.98,0.0
2024-10-07,Gifts,Credit Card,Purchased gifts for friends and family.,4114.21,0.0
2024-10-02,Groceries,Credit Card,Purchased groceries and household items.,2161.13,0.0
2024-10-19,Entertainment,UPI,"Movies, concerts, and recreational activities.",3179.25,2.48
2024-10-22,Travel,Debit Card,Expense for travel tickets and accommodation.,1856.53,0.0
2024-10-07,Travel,Debit Card,Expense for travel tickets and accommodation.,1961.71,0.0
2024-10-03,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,601.23,0.0
2024-10-05,Groceries,Cash,Purchased groceries and household items.,2618.81,0.0
2024-10-20,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",3399.99,0.0
2024-10-23,Gifts,Cash,Purchased gifts for friends and family.,340.11,0.0
2024-10-09,Gifts,Credit Card,Purchased gifts for friends and family.,4742.42,0.0
2024-10-23,Groceries,UPI,Purchased groceries and household items.,3185.86,10.67
2024-10-08,Subscriptions,UPI,Online streaming and magazine subscriptions.,779.35,3.86
2024-10-13,Travel,Cash,Expense for travel tickets and accommodation.,669.67,0.0
2024-10-19,Groceries,UPI,Purchased groceries and household items.,1975.01,18.08
2024-10-19,Gifts,Debit Card,Purchased gifts for friends and family.,4305.57,0.0
2024-10-27,Transportation,Debit Card,Daily commute and fuel expenses.,1939.27,0.0
2024-10-19,Gifts,UPI,Purchased gifts for friends and family.,1938.1,18.67
2024-10-03,Transportation,Cash,Daily commute and fuel expenses.,1599.86,0.0
2024-10-23,Groceries,Cash,Purchased groceries and household items.,718.29,0.0
2024-10-17,Gifts,Debit Card,Purchased gifts for friends and family.,620.89,0.0
2024-10-17,Groceries,Cash,Purchased groceries and household items.,1538.53,0.0
2024-10-27,Transportation,Credit Card,Daily commute and fuel expenses.,3493.89,0.0
2024-10-05,Entertainment,Cash,"Movies, concerts, and recreational activities.",4876.38,0.0
2024-10-04,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,1780.39,0.0
2024-10-16,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",4601.67,0.0
2024-10-26,Travel,Credit Card,Expense for travel tickets and accommodation.,4995.0,0.0
2024-10-18,Groceries,Cash,Purchased groceries and household items.,199.74,0.0
2024-10-26,Gifts,Cash,Purchased gifts for friends and family.,3483.96,0.0
2024-10-18,Transportation,UPI,Daily commute and fuel expenses.,1864.43,15.65
2024-10-27,Groceries,Credit Card,Purchased groceries and household items.,1432.72,0.0
2024-10-11,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,4891.12,0.0
2024-10-16,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",3176.36,0.0
2024-10-23,Subscriptions,UPI,Online streaming and magazine subscriptions.,3182.12,18.91
2024-10-05,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",2108.14,0.0
2024-10-11,Groceries,Cash,Purchased groceries and household items.,2073.07,0.0
2024-10-27,Gifts,Debit Card,Purchased gifts for friends and family.,2702.36,0.0
2024-10-19,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,3644.23,0.0
2024-10-22,Transportation,Credit Card,Daily commute and fuel expenses.,2341.59,0.0
2024-10-17,Gifts,Debit Card,Purchased gifts for friends and family.,201.88,0.0
2024-10-09,Travel,Credit Card,Expense for travel tickets and accommodation.,1394.55,0.0
2024-10-03,Gifts,Credit Card,Purchased gifts for friends and family.,2578.31,0.0
2024-10-11,Travel,UPI,Expense for travel tickets and accommodation.,270.55,1.57
2024-10-12,Subscriptions,Cash,Online streaming and magazine subscriptions.,4356.9,0.0
2024-10-16,Travel,Credit Card,Expense for travel tickets and accommodation.,1648.63,0.0
2024-10-23,Subscriptions,Cash,Online streaming and magazine subscriptions.,4539.13,0.0
2024-10-16,Subscriptions,UPI,Online streaming and magazine subscriptions.,1077.55,18.81
2024-10-14,Subscriptions,Cash,Online streaming and magazine subscriptions.,3515.53,0.0
2024-10-16,Gifts,Cash,Purchased gifts for friends and family.,3752.13,0.0
2024-10-16,Transportation,Cash,Daily commute and fuel expenses.,2485.91,0.0
2024-10-03,Travel,Cash,Expense for travel tickets and accommodation.,4204.01,0.0
2024-10-19,Transportation,Credit Card,Daily commute and fuel expenses.,910.17,0.0
2024-10-21,Travel,Debit Card,Expense for travel tickets and accommodation.,1994.14,0.0
2024-10-19,Travel,Cash,Expense for travel tickets and accommodation.,1453.42,0.0
2024-10-05,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,3151.24,0.0
2024-10-06,Travel,Debit Card,Expense for travel tickets and accommodation.,2981.03,0.0
2024-10-15,Gifts,Credit Card,Purchased gifts for friends and family.,4481.4,0.0
2024-10-18,Subscriptions,Cash,Online streaming and magazine subscriptions.,488.47,0.0
2024-10-05,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,2941.3,0.0
2024-10-09,Groceries,Debit Card,Purchased groceries and household items.,1798.23,0.0
2024-10-26,Transportation,Credit Card,Daily commute and fuel expenses.,3729.36,0.0
2024-10-10,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,4865.84,0.0
2024-10-10,Entertainment,Cash,"Movies, concerts, and recreational activities.",2855.17,0.0
2024-10-05,Groceries,Debit Card,Purchased groceries and household items.,4494.85,0.0
2024-10-10,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,4281.82,0.0
2024-10-03,Entertainment,Cash,"Movies, concerts, and recreational activities.",2072.93,0.0
2024-10-07,Transportation,Cash,Daily commute and fuel expenses.,3445.2,0.0
2024-10-26,Travel,Credit Card,Expense for travel tickets and accommodation.,1524.04,0.0
2024-10-01,Transportation,UPI,Daily commute and fuel expenses.,2170.16,6.03
2024-10-19,Transportation,Cash,Daily commute and fuel expenses.,3953.95,0.0
2024-10-09,Groceries,Debit Card,Purchased groceries and household items.,244.63,0.0
2024-10-01,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,866.75,0.0
2024-10-25,Travel,Debit Card,Expense for travel tickets and accommodation.,2805.67,0.0
2024-10-08,Transportation,Cash,Daily commute and fuel expenses.,2760.04,0.0
2024-10-13,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",4636.65,0.0
2024-10-17,Travel,Debit Card,Expense for travel tickets and accommodation.,954.36,0.0
2024-10-09,Travel,UPI,Expense for travel tickets and accommodation.,345.27,18.19
2024-10-24,Subscriptions,Cash,Online streaming and magazine subscriptions.,3401.64,0.0
2024-10-18,Subscriptions,Cash,Online streaming and magazine subscriptions.,1678.04,0.0
2024-10-13,Gifts,Debit Card,Purchased gifts for friends and family.,1443.72,0.0
2024-11-25,Travel,UPI,Expense for travel tickets and accommodation.,4894.72,5.24
2024-11-25,Travel,Cash,Expense for travel tickets and accommodation.,1219.76,0.0
2024-11-25,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",828.06,0.0
2024-11-14,Travel,Credit Card,Expense for travel tickets and accommodation.,3627.53,0.0
2024-11-23,Groceries,Credit Card,Purchased groceries and household items.,4392.78,0.0
2024-11-15,Travel,Credit Card,Expense for travel tickets and accommodation.,598.81,0.0
2024-11-22,Entertainment,Cash,"Movies, concerts, and recreational activities.",4236.18,0.0
2024-11-13,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,1692.83,0.0
2024-11-18,Travel,Debit Card,Expense for travel tickets and accommodation.,4006.45,0.0
2024-11-14,Travel,Credit Card,Expense for travel tickets and accommodation.,1464.97,0.0
2024-11-10,Groceries,Credit Card,Purchased groceries and household items.,2576.46,0.0
2024-11-23,Gas Bill,UPI,Monthly gas bill payment.,2900.81,19.34
2024-11-23,Groceries,Credit Card,Purchased groceries and household items.,4371.04,0.0
2024-11-11,Transportation,UPI,Daily commute and fuel expenses.,1283.64,6.36
2024-11-13,Transportation,Debit Card,Daily commute and fuel expenses.,3247.32,0.0
2024-11-25,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,1308.5,0.0
2024-11-14,Transportation,Cash,Daily commute and fuel expenses.,2962.87,0.0
2024-11-19,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",1819.34,0.0
2024-11-08,Travel,UPI,Expense for travel tickets and accommodation.,2036.27,14.47
2024-11-02,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,3820.87,0.0
2024-11-13,Gifts,Debit Card,Purchased gifts for friends and family.,3847.78,0.0
2024-11-14,Travel,Debit Card,Expense for travel tickets and accommodation.,3021.53,0.0
2024-11-05,Transportation,UPI,Daily commute and fuel expenses.,3060.14,7.66
2024-11-13,Travel,Debit Card,Expense for travel tickets and accommodation.,3472.52,0.0
2024-11-20,Gifts,UPI,Purchased gifts for friends and family.,3942.95,12.5
2024-11-06,Groceries,UPI,Purchased groceries and household items.,119.16,16.25
2024-11-27,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,2129.07,0.0
2024-11-09,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,4373.39,0.0
2024-11-26,Transportation,Cash,Daily commute and fuel expenses.,4877.96,0.0
2024-11-12,Groceries,Cash,Purchased groceries and household items.,1679.03,0.0
2024-11-21,Transportation,Cash,Daily commute and fuel expenses.,4220.88,0.0
2024-11-16,Entertainment,Cash,"Movies, concerts, and recreational activities.",2524.59,0.0
2024-11-18,Groceries,Debit Card,Purchased groceries and household items.,3966.99,0.0
2024-11-02,Subscriptions,UPI,Online streaming and magazine subscriptions.,901.03,3.72
2024-11-10,Travel,Credit Card,Expense for travel tickets and accommodation.,2116.75,0.0
2024-11-18,Groceries,UPI,Purchased groceries and household items.,3212.43,14.56
2024-11-01,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,3882.76,0.0
2024-11-02,Groceries,Cash,Purchased groceries and household items.,4889.59,0.0
2024-11-16,Groceries,Cash,Purchased groceries and household items.,2396.52,0.0
2024-11-21,Groceries,Debit Card,Purchased groceries and household items.,4333.58,0.0
2024-11-15,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,836.24,0.0
2024-11-14,Transportation,Credit Card,Daily commute and fuel expenses.,2299.01,0.0
2024-11-27,Groceries,Credit Card,Purchased groceries and household items.,1885.99,0.0
2024-11-04,Groceries,Credit Card,Purchased groceries and household items.,106.4,0.0
2024-11-18,Gifts,Cash,Purchased gifts for friends and family.,2586.47,0.0
2024-11-19,Gifts,Debit Card,Purchased gifts for friends and family.,2144.15,0.0
2024-11-24,Travel,Cash,Expense for travel tickets and accommodation.,4555.94,0.0
2024-11-13,Gifts,Cash,Purchased gifts for friends and family.,732.77,0.0
2024-11-26,Transportation,Cash,Daily commute and fuel expenses.,4684.4,0.0
2024-11-11,Subscriptions,Cash,Online streaming and magazine subscriptions.,1545.25,0.0
2024-11-26,Gifts,Credit Card,Purchased gifts for friends and family.,3468.32,0.0
2024-11-15,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,2832.33,0.0
2024-11-24,Gifts,Credit Card,Purchased gifts for friends and family.,4483.19,0.0
2024-11-17,Travel,Cash,Expense for travel tickets and accommodation.,698.66,0.0
2024-11-20,Entertainment,UPI,"Movies, concerts, and recreational activities.",1930.61,12.5
2024-11-23,Entertainment,Cash,"Movies, concerts, and recreational activities.",1355.85,0.0
2024-11-16,Groceries,Cash,Purchased groceries and household items.,4218.3,0.0
2024-11-06,Gifts,Debit Card,Purchased gifts for friends and family.,3509.08,0.0
2024-11-09,Subscriptions,UPI,Online streaming and magazine subscriptions.,1816.32,2.34
2024-11-15,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",4783.7,0.0
2024-11-23,Travel,Cash,Expense for travel tickets and accommodation.,529.94,0.0
2024-11-05,Subscriptions,Cash,Online streaming and magazine subscriptions.,3704.39,0.0
2024-11-12,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,1409.09,0.0
2024-11-02,Gifts,Credit Card,Purchased gifts for friends and family.,1460.12,0.0
2024-11-03,Groceries,Credit Card,Purchased groceries and household items.,2988.67,0.0
2024-11-16,Transportation,UPI,Daily commute and fuel expenses.,2651.32,8.57
2024-11-18,Transportation,Credit Card,Daily commute and fuel expenses.,1402.68,0.0
2024-11-02,Transportation,Credit Card,Daily commute and fuel expenses.,2697.95,0.0
2024-11-19,Subscriptions,UPI,Online streaming and magazine subscriptions.,546.25,8.67
2024-11-15,Groceries,Debit Card,Purchased groceries and household items.,249.05,0.0
2024-11-19,Subscriptions,Cash,Online streaming and magazine subscriptions.,2615.45,0.0
2024-11-18,Groceries,UPI,Purchased groceries and household items.,1513.38,1.2
2024-11-20,Travel,Cash,Expense for travel tickets and accommodation.,3170.44,0.0
2024-11-25,Subscriptions,Cash,Online streaming and magazine subscriptions.,3082.47,0.0
2024-11-21,Travel,Debit Card,Expense for travel tickets and accommodation.,1101.8,0.0
2024-11-27,Gifts,UPI,Purchased gifts for friends and family.,3029.54,9.28
2024-11-14,Gifts,Debit Card,Purchased gifts for friends and family.,2199.25,0.0
2024-11-02,Gifts,Cash,Purchased gifts for friends and family.,3945.65,0.0
2024-11-09,Groceries,Cash,Purchased groceries and household items.,2136.75,0.0
2024-11-17,Gifts,UPI,Purchased gifts for friends and family.,233.68,5.27
2024-11-26,Groceries,UPI,Purchased groceries and household items.,4377.46,5.1
2024-11-03,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,4732.04,0.0
2024-11-12,Gifts,Cash,Purchased gifts for friends and family.,1441.6,0.0
2024-11-27,Transportation,Cash,Daily commute and fuel expenses.,2297.09,0.0
2024-11-03,Travel,UPI,Expense for travel tickets and accommodation.,757.03,3.93
2024-11-26,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,4948.8,0.0
2024-11-16,Groceries,UPI,Purchased groceries and household items.,4844.53,9.89
2024-11-11,Gifts,Debit Card,Purchased gifts for friends and family.,1269.98,0.0
2024-11-03,Groceries,UPI,Purchased groceries and household items.,4397.28,16.89
2024-11-08,Entertainment,UPI,"Movies, concerts, and recreational activities.",1219.98,10.06
2024-11-09,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",1712.92,0.0
2024-11-09,Travel,Debit Card,Expense for travel tickets and accommodation.,2566.1,0.0
2024-11-19,Transportation,Cash,Daily commute and fuel expenses.,1785.66,0.0
2024-11-08,Gifts,Credit Card,Purchased gifts for friends and family.,1727.31,0.0
2024-11-08,Travel,UPI,Expense for travel tickets and accommodation.,4770.18,5.08
2024-11-20,Transportation,UPI,Daily commute and fuel expenses.,4197.83,5.11
2024-11-17,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",2522.31,0.0
2024-11-08,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",2010.4,0.0
2024-11-11,Transportation,Credit Card,Daily commute and fuel expenses.,715.02,0.0
2024-11-03,Gifts,Debit Card,Purchased gifts for friends and family.,1975.81,0.0
2024-11-05,Groceries,Cash,Purchased groceries and household items.,3216.97,0.0
2024-11-15,Groceries,Credit Card,Purchased groceries and household items.,1279.38,0.0
2024-11-06,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",735.19,0.0
2024-11-03,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,2258.56,0.0
2024-11-10,Groceries,Credit Card,Purchased groceries and household items.,3837.36,0.0
2024-11-10,Transportation,UPI,Daily commute and fuel expenses.,494.83,8.31
2024-11-09,Transportation,Debit Card,Daily commute and fuel expenses.,263.39,0.0
2024-11-26,Travel,Credit Card,Expense for travel tickets and accommodation.,4054.06,0.0
2024-11-18,Subscriptions,UPI,Online streaming and magazine subscriptions.,4065.28,15.15
2024-11-27,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,3740.58,0.0
2024-11-07,Gifts,Debit Card,Purchased gifts for friends and family.,2087.83,0.0
2024-11-04,Transportation,Cash,Daily commute and fuel expenses.,321.11,0.0
2024-11-26,Groceries,UPI,Purchased groceries and household items.,1014.96,2.1
2024-11-21,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",2635.88,0.0
2024-11-23,Transportation,Credit Card,Daily commute and fuel expenses.,3940.12,0.0
2024-11-26,Travel,Debit Card,Expense for travel tickets and accommodation.,275.41,0.0
2024-11-15,Transportation,Credit Card,Daily commute and fuel expenses.,2197.38,0.0
2024-11-25,Groceries,Debit Card,Purchased groceries and household items.,3553.83,0.0
2024-11-14,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",4579.24,0.0
2024-11-04,Travel,UPI,Expense for travel tickets and accommodation.,3787.32,12.43
2024-11-05,Gifts,UPI,Purchased gifts for friends and family.,653.39,7.42
2024-11-01,Transportation,UPI,Daily commute and fuel expenses.,805.65,10.27
2024-11-09,Travel,Cash,Expense for travel tickets and accommodation.,3271.38,0.0
2024-11-02,Groceries,UPI,Purchased groceries and household items.,3021.17,19.6
2024-11-19,Transportation,Credit Card,Daily commute and fuel expenses.,4216.12,0.0
2024-11-14,Groceries,Debit Card,Purchased groceries and household items.,2129.63,0.0
2024-11-08,Gifts,Cash,Purchased gifts for friends and family.,1645.74,0.0
2024-11-23,Subscriptions,UPI,Online streaming and magazine subscriptions.,1102.11,9.82
2024-11-16,Gifts,Debit Card,Purchased gifts for friends and family.,147.79,0.0
2024-11-07,Subscriptions,UPI,Online streaming and magazine subscriptions.,4847.98,2.61
2024-11-21,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",2559.71,0.0
2024-11-21,Travel,UPI,Expense for travel tickets and accommodation.,1921.5,17.36
2024-11-13,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",952.29,0.0
2024-11-27,Transportation,Cash,Daily commute and fuel expenses.,2225.54,0.0
2024-11-24,Travel,Debit Card,Expense for travel tickets and accommodation.,3294.08,0.0
2024-11-14,Travel,Cash,Expense for travel tickets and accommodation.,3751.03,0.0
2024-11-27,Groceries,Cash,Purchased groceries and household items.,2089.82,0.0
2024-11-22,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",2270.11,0.0
2024-11-03,Gifts,Debit Card,Purchased gifts for friends and family.,3525.12,0.0
2024-11-12,Groceries,Credit Card,Purchased groceries and household items.,3188.58,0.0
2024-11-08,Groceries,Cash,Purchased groceries and household items.,2767.2,0.0
2024-11-13,Groceries,Debit Card,Purchased groceries and household items.,1234.58,0.0
2024-11-18,Groceries,UPI,Purchased groceries and household items.,809.7,3.87
2024-11-05,Transportation,Debit Card,Daily commute and fuel expenses.,1481.54,0.0
2024-11-23,Gifts,Credit Card,Purchased gifts for friends and family.,698.42,0.0
2024-11-24,Travel,Cash,Expense for travel tickets and accommodation.,4015.9,0.0
2024-11-20,Transportation,Cash,Daily commute and fuel expenses.,4656.47,0.0
2024-11-26,Subscriptions,Cash,Online streaming and magazine subscriptions.,2948.9,0.0
2024-11-23,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",4155.63,0.0
2024-11-23,Travel,Debit Card,Expense for travel tickets and accommodation.,4456.67,0.0
2024-12-23,Gas Bill,UPI,Monthly gas bill payment.,1206.07,7.27
2024-12-06,Subscriptions,Cash,Online streaming and magazine subscriptions.,1131.83,0.0
2024-12-21,Gifts,Cash,Purchased gifts for friends and family.,4649.87,0.0
2024-12-12,Groceries,UPI,Purchased groceries and household items.,1112.49,17.29
2024-12-13,Subscriptions,UPI,Online streaming and magazine subscriptions.,4503.07,13.14
2024-12-10,Entertainment,Cash,"Movies, concerts, and recreational activities.",180.79,0.0
2024-12-21,Transportation,Cash,Daily commute and fuel expenses.,1613.7,0.0
2024-12-21,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,749.06,0.0
2024-12-26,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",892.87,0.0
2024-12-21,Transportation,UPI,Daily commute and fuel expenses.,3868.9,17.37
2024-12-07,Travel,Debit Card,Expense for travel tickets and accommodation.,4036.82,0.0
2024-12-11,Entertainment,Cash,"Movies, concerts, and recreational activities.",2718.73,0.0
2024-12-16,Entertainment,Cash,"Movies, concerts, and recreational activities.",1256.61,0.0
2024-12-03,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",1005.82,0.0
2024-12-27,Travel,Credit Card,Expense for travel tickets and accommodation.,1267.51,0.0
2024-12-23,Groceries,Cash,Purchased groceries and household items.,4386.58,0.0
2024-12-19,Subscriptions,UPI,Online streaming and magazine subscriptions.,1010.2,19.35
2024-12-19,Gifts,Credit Card,Purchased gifts for friends and family.,386.54,0.0
2024-12-13,Gifts,Cash,Purchased gifts for friends and family.,1339.12,0.0
2024-12-11,Groceries,UPI,Purchased groceries and household items.,1258.96,1.67
2024-12-15,Gifts,Cash,Purchased gifts for friends and family.,3874.87,0.0
2024-12-09,Transportation,Debit Card,Daily commute and fuel expenses.,2246.95,0.0
2024-12-06,Transportation,Credit Card,Daily commute and fuel expenses.,408.62,0.0
2024-12-13,Travel,Credit Card,Expense for travel tickets and accommodation.,911.21,0.0
2024-12-07,Subscriptions,UPI,Online streaming and magazine subscriptions.,2951.82,9.11
2024-12-07,Entertainment,Cash,"Movies, concerts, and recreational activities.",182.93,0.0
2024-12-25,Groceries,Credit Card,Purchased groceries and household items.,3245.68,0.0
2024-12-14,Entertainment,Cash,"Movies, concerts, and recreational activities.",1667.42,0.0
2024-12-15,Transportation,UPI,Daily commute and fuel expenses.,2371.81,12.89
2024-12-04,Groceries,UPI,Purchased groceries and household items.,3931.77,16.18
2024-12-14,Transportation,Cash,Daily commute and fuel expenses.,3032.32,0.0
2024-12-26,Transportation,Credit Card,Daily commute and fuel expenses.,579.92,0.0
2024-12-06,Travel,Debit Card,Expense for travel tickets and accommodation.,2958.29,0.0
2024-12-12,Transportation,Cash,Daily commute and fuel expenses.,193.61,0.0
2024-12-12,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,3837.74,0.0
2024-12-15,Groceries,Credit Card,Purchased groceries and household items.,946.95,0.0
2024-12-21,Entertainment,UPI,"Movies, concerts, and recreational activities.",1001.63,12.62
2024-12-12,Gifts,Cash,Purchased gifts for friends and family.,2648.15,0.0
2024-12-26,Travel,Cash,Expense for travel tickets and accommodation.,3783.41,0.0
2024-12-26,Travel,Credit Card,Expense for travel tickets and accommodation.,4800.94,0.0
2024-12-06,Subscriptions,Cash,Online streaming and magazine subscriptions.,1681.22,0.0
2024-12-23,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,1005.24,0.0
2024-12-18,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",4438.78,0.0
2024-12-21,Travel,UPI,Expense for travel tickets and accommodation.,1808.12,11.13
2024-12-09,Gifts,Cash,Purchased gifts for friends and family.,4371.39,0.0
2024-12-11,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",3114.78,0.0
2024-12-11,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",3550.3,0.0
2024-12-08,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,4719.28,0.0
2024-12-17,Gifts,Credit Card,Purchased gifts for friends and family.,4905.62,0.0
2024-12-13,Transportation,UPI,Daily commute and fuel expenses.,1362.21,17.09
2024-12-06,Groceries,UPI,Purchased groceries and household items.,3662.81,14.69
2024-12-23,Transportation,Debit Card,Daily commute and fuel expenses.,1837.56,0.0
2024-12-23,Transportation,Cash,Daily commute and fuel expenses.,1372.44,0.0
2024-12-11,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,1626.75,0.0
